SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGY,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU
64972,7,2,1,61,,5,6,2,,,2,,2,1,6,,3,1,,1,2,2,1,2,2,1,2,2,1,7289.557268,8219.094942,3,90,1,1,0,2,2,0,0,1,1,61,2,3,1,3
64973,7,2,1,64,,3,3,1,,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,35869.01931,36329.10167,3,92,4,4,1.13,2,2,0,0,2,1,64,1,3,1,4
64974,7,2,2,42,,4,4,1,,,2,,1,1,,,4,5,2,1,2,2,1,2,2,1,2,2,1,27585.47062,27304.9272,2,102,7,7,2.65,2,2,1,0,0,2,42,1,4,5,
64975,7,2,2,48,,4,4,2,,,2,,1,1,,,2,6,,1,2,2,1,2,2,1,2,2,1,23016.0247,24471.52543,1,96,7,7,2.78,2,2,0,0,0,1,48,1,2,6,
64976,7,2,1,69,,4,4,1,,,1,1,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,7323.703412,7380.991723,2,100,10,10,2.33,6,6,0,2,2,2,35,1,2,5,
64977,7,2,2,63,,4,4,2,,,2,,1,1,,,3,5,,1,2,2,1,2,2,1,2,2,1,15732.43689,17625.53878,1,97,2,2,0.72,1,1,0,0,1,2,63,1,3,5,
64978,7,2,2,56,,2,2,2,,,2,,2,2,3,,4,1,,1,2,2,1,2,2,1,2,2,1,24548.47871,25991.79889,1,93,5,5,1.43,2,2,0,0,1,1,60,2,5,1,4
64979,7,2,2,47,,4,4,2,,,2,,1,1,,,2,5,,1,2,2,1,2,2,1,2,2,1,18822.97549,18307.83538,2,99,2,2,0.19,6,6,0,1,0,1,59,1,2,5,
64980,7,2,2,80,,3,3,2,,,2,,1,1,,,4,2,,1,2,2,1,2,2,1,2,2,,33147.41427,37148.27652,2,94,99,99,,1,1,0,0,1,2,80,1,4,2,
64981,7,2,1,46,,3,3,2,,,2,,2,1,6,,4,1,,1,2,2,1,2,1,1,2,2,1,19436.02609,20775.48448,2,97,5,5,0.8,5,5,1,2,0,1,46,2,4,1,2
64982,7,2,1,16,,3,3,2,16,200,,,1,1,,10,,,,1,2,2,1,2,2,1,2,2,1,66448.11672,66629.74379,2,94,14,14,2.83,6,6,0,4,0,2,38,1,2,1,2
64983,7,2,2,76,,4,4,1,,,2,,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,,17836.37265,19170.47255,2,96,6,6,1.77,2,2,0,0,2,1,77,1,2,1,2
64984,7,2,2,17,,3,3,2,17,213,2,,1,1,,11,,,,1,2,2,,,,1,2,2,1,76360.13568,92040.47901,1,99,,,,4,4,0,1,0,1,50,,,1,
64985,7,2,1,65,,4,4,1,,,1,1,1,1,,,2,2,,1,2,2,1,2,2,1,2,2,1,7410.50521,7700.344649,2,96,6,6,2.75,1,1,0,0,1,1,65,1,2,2,
64986,7,1,2,28,,5,6,,,,2,,2,1,4,,5,5,3,1,2,2,1,2,2,,,,,16937.04417,0,1,95,3,3,0.43,4,4,0,1,2,1,65,2,5,1,3
64987,7,2,1,17,,4,4,1,17,210,2,,1,1,,10,,,,1,2,2,1,2,2,1,2,2,1,17606.16599,18413.2114,2,101,1,1,0.27,3,3,0,2,0,2,36,1,3,5,
64988,7,2,2,5,,4,4,2,5,66,,,1,1,,,,,,1,1,2,1,2,2,,,,,8897.78821,9699.858422,1,96,7,7,1,7,7,2,1,1,2,53,1,4,1,3
64989,7,2,1,11,,2,2,2,11,138,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,13217.72125,13515.80847,2,91,8,8,2.97,3,2,0,2,0,2,33,2,4,5,
64990,7,1,1,2,,5,7,,,,,,1,1,,,,,,1,1,2,1,2,2,,,,,7390.005875,0,1,91,15,15,5,5,5,2,1,0,1,40,1,5,1,5
64991,7,2,2,10,,5,6,2,10,128,,,1,1,,5,,,,1,1,1,1,2,1,1,2,2,1,6198.268014,6618.822195,3,90,15,15,3.23,6,6,0,2,0,1,50,2,2,1,2
64992,7,2,1,76,,3,3,2,,,2,,1,1,,,5,2,,1,2,2,1,2,2,1,2,2,,15176.62223,16064.12002,1,101,3,3,1.12,1,1,0,0,1,1,76,1,5,2,
64993,7,1,1,57,,4,4,,,,2,,1,1,,,5,6,,1,2,2,1,2,2,,,,,16287.78087,0,2,100,15,14,5,2,1,0,0,0,1,57,1,5,6,
64994,7,2,1,27,,3,3,1,,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,106239.0284,111331.0032,2,92,10,5,1.96,2,1,0,0,0,2,27,2,5,1,
64995,7,2,2,68,,3,3,2,,,2,,2,2,4,,1,1,,1,2,1,1,2,1,1,2,1,,35700.4299,37686.26259,1,93,2,2,0.41,2,2,0,0,2,2,68,2,1,1,1
64996,7,2,1,0,6,3,3,2,,7,,,1,1,,,,,,1,1,2,1,2,2,,,,,19091.53906,20438.31494,2,95,8,8,2.17,4,4,1,1,0,1,43,1,4,1,5
64997,7,2,2,15,,2,2,2,15,184,,,1,1,,66,,,,2,1,2,2,2,2,1,2,2,1,13824.00177,15649.80568,2,90,2,2,0.3,3,3,0,1,0,2,51,2,2,5,
64998,7,2,1,54,,3,3,2,,,1,2,1,1,,,5,5,,1,2,2,1,2,2,1,2,2,1,144858.9638,145378.9421,2,97,9,9,5,1,1,0,0,0,1,54,1,5,5,
64999,7,2,1,32,,4,4,1,,,2,,1,1,,,2,5,,1,2,2,1,2,2,1,2,2,1,18544.00394,19434.0542,2,100,5,5,1.63,3,2,0,1,0,2,50,1,2,5,
65000,7,2,1,4,,2,2,2,4,50,,,1,1,,,,,,2,1,2,1,2,2,,,,,12403.41226,12420.17219,2,90,3,3,0.54,4,4,1,2,0,2,33,2,1,4,
65001,7,2,2,13,,5,7,2,13,160,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,8777.486283,9116.900706,1,91,15,15,5,5,5,0,3,0,1,40,1,5,1,5
65002,7,2,1,68,,3,3,2,,,1,2,1,1,,,3,6,,1,2,2,,,,1,2,2,1,140267.56,144186.2497,2,91,12,,,2,1,0,0,2,2,68,1,4,6,
65003,7,2,1,9,,3,3,1,9,109,,,1,1,,2,,,,1,1,2,1,2,2,1,2,2,1,17738.7692,18719.4575,1,98,4,4,1,3,3,0,1,1,1,65,1,2,1,
65004,7,2,2,25,,1,1,1,,,2,,2,2,4,,1,1,2,2,2,2,2,2,2,,,,,42557.59767,44940.4177,1,100,13,13,,4,4,1,1,0,1,28,2,1,1,1
65005,7,2,2,71,,3,3,2,,,2,,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,,73204.40117,96856.98728,2,91,12,12,,2,2,0,0,2,2,71,1,2,1,
65006,7,2,2,47,,4,4,1,,,2,,1,1,,,5,4,,1,2,2,1,2,2,1,2,2,1,25221.44744,25652.65048,1,100,14,14,3.93,3,3,0,1,0,2,47,1,5,4,
65007,7,2,2,24,,5,6,1,,,2,,2,2,2,,5,1,1,1,2,2,1,2,2,1,2,2,1,18801.99324,20649.84658,2,96,14,14,5,2,2,0,0,0,1,30,2,5,1,5
65008,7,1,1,80,,3,3,,,,1,2,1,1,,,1,1,,1,2,2,1,2,2,,,,,11740.6006,0,3,91,13,13,,3,3,0,0,2,2,80,1,3,1,1
65009,7,2,2,51,,4,4,2,,,2,,1,1,,,4,5,,1,2,2,1,2,2,1,2,2,1,21491.09012,20964.32493,1,97,6,6,1.41,3,3,0,1,0,2,51,1,4,5,
65010,7,2,1,6,,4,4,1,6,79,,,1,1,,0,,,,1,1,2,1,2,2,,,,,10469.72516,10967.57113,1,100,15,15,3.87,6,6,1,3,0,2,39,1,4,1,4
65011,7,2,1,33,,4,4,2,,,2,,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,1,18289.79333,19321.21665,1,99,6,6,0.96,5,5,1,2,0,2,35,1,4,1,2
65012,7,2,2,68,,5,6,1,,,2,,2,1,7,,2,2,,1,2,1,1,2,1,1,2,1,3,12312.40069,12851.3407,1,103,2,2,0.45,1,1,0,0,1,2,68,2,2,2,
65013,7,2,2,7,,2,2,2,7,87,,,2,1,1,0,,,,2,1,2,2,2,2,,,,,9872.244853,10294.5061,2,90,6,6,0.66,7,7,2,2,0,2,24,2,4,6,
65014,7,2,2,59,,3,3,2,,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,160743.9288,166234.6292,1,95,9,9,4.01,2,2,0,0,1,1,60,1,3,1,3
65015,7,2,1,19,,4,4,1,19,236,2,,1,1,,15,,,,1,2,2,1,2,2,1,2,2,1,17606.16599,17558.40257,2,101,99,1,0.09,4,1,0,0,0,1,18,2,4,,
65016,7,2,1,11,,3,3,1,11,136,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,22651.43672,23515.7013,3,92,7,7,0.81,7,7,2,4,0,1,40,,,1,4
65017,7,2,1,4,,4,4,1,4,54,,,1,1,,,,,,1,1,2,1,2,2,,,,,10859.96936,11974.89205,1,101,2,2,0.47,3,3,1,0,0,1,35,1,2,6,
65018,7,2,2,14,,2,2,2,14,176,,,2,1,1,8,,,,2,1,2,2,2,2,1,2,2,1,18254.38544,19735.62361,2,91,12,12,,5,5,0,1,1,2,43,2,3,6,
65019,7,2,2,9,,4,4,1,9,118,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,1,11076.0641,11269.278,2,102,15,15,4.2,5,5,1,2,0,2,29,,,1,
65020,7,2,1,62,,2,2,2,,,2,,2,2,7,,1,4,,2,2,2,2,2,2,2,2,2,2,8609.250304,11228.90419,2,90,2,2,0.73,1,1,0,0,1,1,62,2,1,4,
65021,7,2,2,36,,3,3,2,,,2,,1,1,,,4,1,2,1,2,2,1,2,2,1,2,2,1,96524.78948,102108.3843,1,97,7,7,1.87,4,4,1,1,0,1,35,1,2,1,4
65022,7,2,2,29,,5,6,1,,,2,,1,1,,,5,5,3,1,2,2,1,2,2,1,2,2,1,13358.45875,14155.58836,2,92,15,15,5,3,1,0,0,0,2,33,,,5,
65023,7,2,2,13,,4,4,2,13,164,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,11711.38446,11558.02453,2,95,6,6,0.86,6,6,0,4,0,2,32,1,4,6,
65024,7,2,1,9,,2,2,1,9,109,,,1,1,,1,,,,1,1,2,1,2,2,1,2,2,1,16281.50939,17100.21735,2,91,6,6,0.93,5,5,1,2,0,1,34,1,2,1,3
65025,7,2,1,38,,3,3,2,,,2,,1,1,,,4,5,,1,2,2,1,2,2,1,2,2,1,20891.98083,22249.79991,2,97,5,5,1.08,3,3,0,0,0,1,38,1,4,5,
65026,7,2,2,0,11,4,4,1,,12,,,1,1,,,,,,1,1,2,1,2,2,,,,,5058.520291,5113.753371,1,100,7,7,1.65,4,4,2,0,0,2,24,1,4,1,3
65027,7,2,2,23,,2,2,1,,,2,,2,2,3,,4,5,2,2,2,2,1,2,2,2,2,2,2,35424.74684,35270.45649,2,93,4,4,0.56,5,5,0,0,0,2,49,2,2,5,
65028,7,2,1,80,,3,3,1,,,1,1,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,,15682.23351,17550.10771,1,101,3,3,0.95,2,2,0,0,2,1,80,1,2,1,
65029,7,2,2,6,,2,2,2,6,79,,,1,1,,0,,,,1,1,2,1,2,2,,,,,19936.60675,20692.80064,1,94,7,7,1.74,4,4,0,2,0,1,44,1,5,1,5
65030,7,2,2,5,,4,4,2,5,61,,,1,1,,,,,,1,1,2,1,2,2,,,,,8041.669581,8652.926173,2,90,6,6,0.84,6,6,1,3,1,2,43,1,2,5,
65031,7,2,1,16,,2,2,1,16,199,,,2,2,1,8,,,,2,2,2,2,2,2,1,2,2,2,22124.02892,23090.48094,1,100,5,1,0,6,1,1,2,0,2,40,2,1,5,
65032,7,2,2,76,,3,3,1,,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,,72094.42124,74006.95444,2,95,6,6,1.95,2,2,0,0,2,1,80,1,1,1,3
65033,7,2,2,7,,4,4,1,7,90,,,1,1,,1,,,,1,1,2,1,2,2,,,,,9453.111053,10094.33855,1,100,8,8,1.95,4,4,0,2,0,2,42,1,4,1,4
65034,7,2,2,16,,4,4,2,17,204,,,1,1,,9,,,,1,2,2,1,2,2,1,2,2,1,12161.82232,12177.99035,2,95,5,5,1.05,3,3,0,1,1,1,63,1,2,1,3
65035,7,1,1,19,,1,1,,,,2,,1,1,,13,,,,1,2,2,1,2,2,,,,,18042.25509,0,1,102,14,14,2.83,6,6,1,2,0,1,36,1,2,1,3
65036,7,2,2,49,,4,4,2,,,2,,2,2,2,,3,1,,1,2,2,1,2,2,1,2,2,1,14814.74072,14686.12988,1,96,10,10,1.8,7,7,1,1,0,1,57,2,1,1,3
65037,7,1,1,18,,3,3,,,,2,,1,1,,13,,,,1,2,2,1,2,2,,,,,26749.02096,0,1,101,4,4,0.79,3,3,0,0,0,2,47,1,5,3,
65038,7,2,1,13,,2,2,1,13,162,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,21898.96981,22012.99926,2,102,15,12,,5,4,0,3,0,1,42,2,4,6,
65039,7,2,2,6,,5,6,2,6,80,,,1,1,,0,,,,1,1,2,1,2,2,,,,,8067.514021,8614.897055,1,90,14,14,3.33,5,5,1,2,0,1,41,1,5,1,5
65040,7,2,2,58,,4,4,2,,,2,,1,1,,,3,5,,1,2,2,1,2,2,1,2,2,1,18710.5684,18832.61415,2,92,12,12,,2,1,0,0,1,2,58,1,3,5,
65041,7,2,2,11,,5,6,1,11,139,,,1,1,,5,,,,1,1,2,1,2,2,1,2,2,1,8290.163782,8692.019106,1,92,14,14,3.69,4,4,0,2,0,1,47,2,4,4,
65042,7,2,1,14,,5,7,2,15,180,,,1,1,,9,,,,1,1,2,1,2,2,1,2,2,1,15861.37537,15958.82999,1,95,7,7,1.57,4,4,0,2,0,1,39,1,3,1,3
65043,7,2,2,7,,1,1,1,7,92,,,1,1,,2,,,,1,1,2,1,2,2,,,,,15841.45126,16252.61402,3,92,15,15,3.15,7,7,0,4,0,2,35,2,3,3,
65044,7,2,2,15,,5,6,1,15,188,,,1,1,,9,,,,1,1,2,1,2,2,1,2,2,1,10142.28175,10534.47111,3,91,15,15,5,4,4,0,2,0,1,44,2,5,1,5
65045,7,2,1,80,,3,3,1,,,1,1,1,1,,,4,5,,1,2,2,1,2,2,1,2,2,,10479.63787,11291.37519,1,92,2,2,0.87,1,1,0,0,1,1,80,1,4,5,
65046,7,2,1,74,,3,3,2,,,1,2,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,,13704.69135,15557.04524,1,90,15,15,5,2,2,0,0,2,1,74,1,3,1,3
65047,7,2,1,42,,3,3,2,,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,126789.5293,140129.4849,1,101,14,14,3.3,4,4,0,2,0,2,42,1,4,1,3
65048,7,2,1,61,,1,1,1,,,2,,2,2,9,,1,1,,1,2,2,1,2,2,1,2,2,1,10596.14255,10802.65601,1,94,7,7,1.52,4,4,0,2,2,1,61,2,1,1,5
65049,7,2,1,24,,2,2,1,,,2,,2,2,2,,3,1,,1,2,2,1,2,2,1,2,2,1,37911.43742,38428.19956,2,103,7,7,2.64,2,2,0,0,0,2,21,2,3,1,3
65050,7,2,2,80,,3,3,2,,,2,,1,1,,,4,2,,1,2,2,1,2,2,1,2,2,,39565.28879,43332.3564,1,99,10,10,4.89,2,2,0,0,2,2,63,1,5,5,
65051,7,2,2,80,,2,2,2,,,2,,2,1,9,,1,2,,2,2,2,1,2,2,1,2,2,,17318.1873,23904.94556,2,90,3,3,0.92,1,1,0,0,1,2,80,2,1,2,
65052,7,2,1,42,,3,3,1,,,2,,1,1,,,5,2,,1,2,2,1,2,2,1,2,2,1,109309.2685,109028.4755,3,91,15,15,5,2,2,0,1,0,1,42,1,5,2,
65053,7,2,2,0,4,1,1,1,,4,,,1,1,,,,,,1,1,2,1,2,2,,,,,7565.515117,7406.345541,1,100,6,6,1.57,3,3,1,0,0,1,39,1,3,1,5
65054,7,2,1,10,,3,3,1,10,127,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,1,32654.74883,36152.21604,1,94,5,5,0.87,4,4,0,1,0,1,40,1,5,1,5
65055,7,1,1,33,,5,6,,,,2,,2,1,5,,2,1,,1,2,2,1,2,1,,,,,15014.01533,0,3,92,77,77,,7,7,2,4,1,1,62,,,1,
65056,7,2,1,76,,4,4,2,,,2,,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,,8992.410435,9337.125921,2,90,9,9,3.02,3,3,0,0,2,2,70,1,4,1,2
65057,7,2,2,3,,5,6,2,3,44,,,2,2,2,,,,,1,1,2,1,2,1,,,,,3864.413878,4049.242646,1,99,6,6,1.07,6,6,2,1,2,1,44,2,5,4,
65058,7,2,2,80,,3,3,2,,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,,23338.32018,25560.39495,1,99,77,77,,2,2,0,0,2,1,80,1,5,1,4
65059,7,2,2,0,1,4,4,1,,2,,,1,1,,,,,,1,1,2,1,2,2,,,,,4128.726485,4173.807313,2,93,6,6,1.08,4,4,2,0,0,1,25,1,3,6,
65060,7,2,1,0,6,4,4,1,,8,,,1,1,,,,,,1,1,2,1,2,2,,,,,6275.847063,6487.671462,2,93,9,9,2.86,4,4,1,1,0,1,30,1,4,6,
65061,7,2,1,38,,5,6,2,,,2,,2,2,2,,5,1,,1,2,2,1,2,2,1,2,2,1,19091.24674,19659.30338,1,91,10,10,3.22,4,4,1,1,0,1,38,2,5,1,5
65062,7,2,1,10,,4,4,2,10,128,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,8836.464036,8942.399437,1,96,15,15,5,5,5,0,3,0,2,47,1,5,1,5
65063,7,2,1,28,,4,4,2,,,2,,2,2,6,,4,5,,1,2,2,1,2,2,1,2,2,1,19137.19268,18862.90991,1,96,14,14,5,2,2,0,0,0,2,47,2,4,5,
65064,7,2,1,7,,1,1,1,7,84,,,1,1,,0,,,,2,1,2,2,2,2,,,,,13665.41646,13541.31186,1,94,2,2,0.27,5,5,0,4,0,2,47,2,1,4,
65065,7,2,2,34,,3,3,1,,,2,,2,2,2,,5,1,1,1,2,2,1,2,2,1,2,2,1,77299.25533,80009.77249,2,92,10,10,4.89,2,2,0,0,0,2,34,2,5,1,5
65066,7,2,1,45,,3,3,2,,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,32980.71796,33913.23573,1,95,7,7,2.16,3,3,0,0,1,1,45,1,3,1,4
65067,7,2,2,42,,3,3,1,,,2,,2,2,2,,4,1,2,1,2,2,1,2,2,1,2,2,1,118432.3004,124617.6566,2,93,9,9,3.77,2,2,0,0,0,2,42,2,4,1,5
65068,7,2,1,0,8,4,4,2,,9,,,1,1,,,,,,1,1,2,1,2,2,,,,,5572.446681,5657.975893,1,99,10,10,3.51,3,3,1,0,0,1,27,1,4,1,4
65069,7,2,1,62,,1,1,1,,,2,,2,2,4,,1,1,,2,2,2,1,2,2,2,2,2,2,11397.6659,11580.24195,1,101,3,3,0.41,5,5,0,2,1,2,36,2,4,4,
65070,7,2,1,3,,2,2,2,3,39,,,1,1,,,,,,1,1,2,1,2,2,,,,,11186.57645,11318.82578,2,90,3,3,0.46,5,5,3,0,0,2,22,1,2,5,
65071,7,2,2,79,,3,3,1,,,2,,1,1,,,3,2,,1,2,2,1,2,2,1,2,2,,55250.13313,58713.11725,1,91,14,14,3.25,4,4,0,0,1,1,50,1,2,1,3
65072,7,2,2,27,,2,2,2,,,2,,1,1,,,5,5,2,1,2,2,1,2,2,1,2,2,1,48991.86755,51378.46805,1,93,14,14,5,2,2,0,0,0,2,59,2,5,5,
65073,7,2,2,4,,3,3,2,4,58,,,1,1,,,,,,1,1,2,1,2,2,,,,,52402.97499,54053.88035,1,91,15,15,4.59,4,4,2,0,0,1,35,1,5,1,5
65074,7,2,1,42,,4,4,1,,,2,,1,1,,,2,6,,1,2,2,1,2,2,,,,,21924.03349,22615.59152,2,98,10,10,4.76,2,2,0,0,0,1,42,1,2,6,
65075,7,2,2,45,,3,3,2,,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,108335.7316,113413.4195,1,98,15,15,4.34,4,4,0,2,0,1,51,1,5,1,5
65076,7,2,2,50,,4,4,2,,,2,,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,1,16859.3682,16397.96736,1,99,8,8,1.99,5,5,1,0,0,1,55,1,5,1,2
65077,7,2,1,60,,2,2,1,,,2,,2,2,5,,5,1,,2,2,2,2,2,2,2,2,2,2,9068.437099,9213.701881,2,93,77,77,,2,2,0,0,1,2,50,,,1,5
65078,7,2,2,80,,3,3,1,,,2,,1,1,,,1,2,,1,2,2,1,2,2,1,2,2,,51218.35658,59416.20601,2,98,2,2,0.77,1,1,0,0,1,2,80,1,1,2,
65079,7,2,2,35,,3,3,1,,,2,,1,1,,,3,5,2,1,2,2,1,2,2,1,2,2,1,29733.81232,30162.04835,1,101,4,4,0.99,2,2,0,1,0,2,35,1,3,5,
65080,7,2,1,74,,4,4,2,,,2,,1,1,,,4,2,,1,2,2,1,2,2,1,2,2,,7005.52791,7142.750358,2,99,6,6,2.24,1,1,0,0,1,1,74,1,4,2,
65081,7,2,1,8,,2,2,1,8,101,,,1,1,,1,,,,2,1,2,2,2,2,2,2,2,2,12577.11589,12876.06354,2,96,6,6,1.25,4,4,1,1,0,1,31,2,3,1,3
65082,7,2,2,14,,1,1,1,14,173,,,1,1,,8,,,,2,1,1,1,2,2,1,2,2,1,20830.73745,21782.11176,3,91,7,7,1.42,6,6,1,3,0,1,37,2,1,1,1
65083,7,2,2,0,2,1,1,1,,3,,,1,1,,,,,,1,1,2,1,2,2,,,,,7798.643057,7634.568742,1,102,6,6,1.73,3,3,1,0,0,2,24,2,5,1,5
65084,7,2,2,26,,4,4,1,,,2,,1,1,,,4,5,2,1,2,2,1,2,2,1,2,2,1,18299.16854,17535.17139,2,100,5,5,0.95,4,4,0,0,1,2,53,1,3,5,
65085,7,2,1,51,,4,4,1,,,2,,2,2,5,,3,1,,1,2,1,1,2,1,1,2,1,,18061.35895,18950.80317,2,93,4,4,0.69,4,4,0,0,0,1,23,2,3,5,
65086,7,2,1,46,,3,3,1,,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,98850.66586,102087.4162,1,103,15,15,5,3,3,0,1,0,1,46,1,5,1,5
65087,7,2,2,74,,2,2,2,,,2,,2,2,5,,1,2,,2,2,2,1,2,2,1,2,2,,17318.1873,19970.70827,2,90,7,7,1.57,4,4,0,0,1,2,20,1,2,5,
65088,7,2,2,37,,3,3,2,,,2,,2,2,1,,4,5,2,1,2,2,1,2,2,1,2,2,1,95214.22557,102645.9397,1,97,15,1,0.4,5,1,1,1,0,2,38,,,1,5
65089,7,2,2,3,,4,4,2,3,37,,,1,1,,,,,,1,1,2,1,2,2,,,,,9630.497627,10362.52287,1,96,13,13,,5,5,1,1,0,1,42,1,3,5,
65090,7,2,2,18,,5,7,1,18,218,2,,2,2,2,15,,,,1,2,2,1,2,2,1,2,2,1,6391.016092,6494.382638,1,100,99,99,,6,6,0,1,0,1,53,2,2,1,3
65091,7,2,1,33,,3,3,2,,,1,1,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,22188.83674,23952.48036,1,95,5,5,1.03,4,4,0,2,0,1,33,1,3,1,3
65092,7,2,1,8,,2,2,2,8,101,,,1,1,,2,,,,1,1,2,1,2,2,1,2,2,1,8613.834494,9046.977066,2,90,7,7,0.89,7,7,1,3,3,1,60,2,3,1,3
65093,7,2,2,22,,4,4,1,,,2,,1,1,,,4,5,2,1,2,2,1,2,2,1,2,2,1,29040.3004,28462.1184,2,101,6,6,1.67,3,3,0,0,0,2,22,1,4,5,
65094,7,2,1,10,,4,4,1,10,129,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,13423.88186,14062.20095,2,101,6,6,0.96,5,5,0,4,0,2,36,1,4,4,
65095,7,2,2,41,,1,1,1,,,2,,2,2,7,,4,1,1,2,2,2,2,2,2,2,2,1,2,33716.6554,34130.12121,1,100,7,7,1.3,5,5,0,3,0,1,43,2,2,1,4
65096,7,2,2,7,,1,1,1,8,96,,,1,1,,1,,,,2,1,2,2,2,2,,,,,15962.14547,16535.37648,2,98,3,3,0.33,7,7,2,3,0,1,40,2,1,1,1
65097,7,2,1,80,,3,3,2,,,1,2,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,,28280.66979,29879.97639,1,99,14,14,5,2,2,0,0,2,2,79,1,3,1,5
65098,7,2,2,68,,4,4,2,,,2,,2,1,7,,2,1,,1,2,2,1,2,2,1,2,2,1,11355.3308,12230.62164,1,96,7,7,1.39,5,5,0,2,2,1,69,2,2,1,2
65099,7,2,2,1,18,4,4,1,,18,,,1,1,,,,,,1,1,2,1,2,2,,,,,5987.067673,6442.151602,2,93,4,4,0.56,5,5,2,1,0,1,27,1,2,6,
65100,7,2,2,2,,5,6,2,2,31,,,1,1,,,,,,1,1,2,1,2,2,,,,,5520.445386,5614.569811,2,100,15,15,5,4,4,1,1,0,1,41,2,5,1,5
65101,7,2,1,75,,3,3,2,,,2,,1,1,,,5,3,,1,2,2,1,2,2,1,2,2,,10310.16553,10913.0829,1,93,3,3,0.92,1,1,0,0,1,1,75,1,5,3,
65102,7,2,2,35,,3,3,2,,,2,,1,1,,,4,1,2,1,2,2,1,2,2,1,2,2,1,17884.88573,18259.4558,2,95,3,3,0.52,3,3,1,0,0,1,37,1,4,1,4
65103,7,2,1,12,,4,4,2,12,149,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,10453.50644,10655.92867,1,90,14,14,2.96,5,5,1,2,0,1,31,1,5,1,4
65104,7,2,2,8,,3,3,2,9,108,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,1,80369.55582,80552.42047,1,97,15,15,3.89,5,5,0,2,0,1,50,1,4,6,
65105,7,2,2,24,,4,4,1,,,2,,1,1,,,4,5,1,1,2,2,1,2,2,1,2,2,1,24654.10741,23441.41022,1,100,10,10,2.59,5,5,0,1,0,2,40,1,5,1,
65106,7,2,1,32,,4,4,2,,,2,,1,1,,,3,6,,1,2,2,1,2,2,1,2,2,1,20880.64988,21300.20845,1,96,14,6,2.69,2,1,0,0,0,2,29,1,5,6,
65107,7,2,1,14,,1,1,2,14,174,,,1,1,,7,,,,2,1,2,1,2,2,1,2,2,2,20398.56246,21727.33611,2,94,5,5,0.67,6,6,1,3,0,1,37,2,3,1,4
65108,7,2,2,8,,3,3,1,8,105,,,1,1,,2,,,,1,1,2,1,2,2,1,2,2,1,55469.65672,57246.42897,1,98,9,9,2.15,5,5,0,3,0,2,32,1,3,1,4
65109,7,2,1,3,,5,6,1,3,40,,,1,1,,,,,,1,1,2,1,2,2,,,,,10273.60248,11522.96922,2,98,9,9,3.83,2,2,1,0,0,2,29,2,4,5,
65110,7,2,2,23,,5,6,1,,,2,,2,2,1,,4,5,2,1,2,2,1,2,2,,,,,16929.83623,18593.69464,2,101,4,2,0.55,2,1,0,0,0,2,23,2,4,5,
